종목명,년도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(%),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(%),자격취득자현황(명)
비파괴검사분야,2020,여자,116,83,55,66.3,73,65,37,56.9,37
방사선비파괴검사,전체,전체,37061,27011,8959,33.2,15320,13284,4704,35.4,3200
방사선비파괴검사,2015(누적),전체,32828,23995,8005,33.4,13663,11817,4116,34.8,2612
방사선비파괴검사,2016,전체,1067,793,394,49.7,579,525,164,31.2,164
방사선비파괴검사,2016,여자,33,28,16,57.1,20,18,6,33.3,6
방사선비파괴검사,2017,전체,939,662,128,19.3,421,369,178,48.2,178
방사선비파괴검사,2017,여자,32,25,7,28,16,15,8,53.3,8
방사선비파괴검사,2018,전체,793,568,110,19.4,207,181,48,26.5,48
방사선비파괴검사,2018,여자,24,14,4,28.6,3,3,3,100,3
방사선비파괴검사,2019,전체,851,574,132,23,195,168,79,47,79
방사선비파괴검사,2019,여자,24,21,10,47.6,13,12,5,41.7,5
방사선비파괴검사,2020,전체,583,419,190,45.3,255,224,119,53.1,119
방사선비파괴검사,2020,여자,20,17,11,64.7,14,13,10,76.9,10
초음파비파괴검사,전체,전체,19592,13397,4573,34.1,10325,8146,1603,19.7,2123
초음파비파괴검사,2015(누적),전체,14017,9512,3185,33.5,7433,5791,1192,20.6,1712
초음파비파괴검사,2016,전체,1447,1069,425,39.8,743,620,130,21,130
초음파비파괴검사,2016,여자,24,22,9,40.9,8,8,1,12.5,1
초음파비파괴검사,2017,전체,1273,906,237,26.2,611,506,105,20.8,105
초음파비파괴검사,2017,여자,22,19,7,36.8,10,9,0,0,0
초음파비파괴검사,2018,전체,1098,743,205,27.6,514,413,61,14.8,61
초음파비파괴검사,2018,여자,18,15,4,26.7,13,11,3,27.3,3
초음파비파괴검사,2019,전체,971,619,230,37.2,463,368,40,10.9,40
초음파비파괴검사,2019,여자,18,13,4,30.8,11,9,1,11.1,1
초음파비파괴검사,2020,전체,786,548,291,53.1,561,448,75,16.7,75
초음파비파괴검사,2020,여자,17,11,6,54.5,7,6,0,0,0
자기비파괴검사,전체,전체,19777,13271,5395,40.7,9592,8084,3358,41.5,3870
자기비파괴검사,2015(누적),전체,14291,9445,3525,37.3,6281,5244,2285,43.6,2797
자기비파괴검사,2016,전체,1541,1070,531,49.6,739,649,210,32.4,210
자기비파괴검사,2016,여자,30,24,16,66.7,17,15,4,26.7,4
자기비파괴검사,2017,전체,1227,890,373,41.9,750,655,221,33.7,221
자기비파괴검사,2017,여자,23,18,13,72.2,20,17,9,52.9,9
자기비파괴검사,2018,전체,1114,773,438,56.7,777,656,229,34.9,229
자기비파괴검사,2018,여자,30,26,20,76.9,29,27,10,37,10
자기비파괴검사,2019,전체,967,647,331,51.2,619,510,242,47.5,242
자기비파괴검사,2019,여자,18,14,6,42.9,17,15,6,40,6
자기비파괴검사,2020,전체,637,446,197,44.2,426,370,171,46.2,171
자기비파괴검사,2020,여자,14,12,7,58.3,14,14,7,50,7
침투비파괴검사,전체,전체,27406,18713,7517,40.2,12299,10574,5752,54.4,6236
침투비파괴검사,2015(누적),전체,17310,11589,4441,38.3,7123,6073,3302,54.4,3786
침투비파괴검사,2016,전체,2220,1473,731,49.6,1335,1175,529,45,529
침투비파괴검사,2016,여자,67,46,30,65.2,38,35,17,48.6,17
침투비파괴검사,2017,전체,2346,1683,664,39.5,1173,1017,643,63.2,643
침투비파괴검사,2017,여자,60,50,17,34,31,28,17,60.7,17
침투비파괴검사,2018,전체,2322,1710,660,38.6,1039,901,452,50.2,452
침투비파괴검사,2018,여자,44,35,21,60,29,24,14,58.3,14
침투비파괴검사,2019,전체,2015,1436,598,41.6,973,834,514,61.6,514
