종목명,시작 연도,완료 연도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(%),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(%),자격취득자현황(명)
안전관리분야,1975,2014,전체,12535,10692,4463,41.7,10892,9143,1564,17.1,1557
안전관리분야,2015,2015,전체,1471,1254,515,41.1,1144,992,185,18.6,185
안전관리분야,2015,2015,여,19,17,9,52.9,16,15,3,20,3
안전관리분야,2016,2016,전체,1575,1331,730,54.8,1438,1245,418,33.6,418
안전관리분야,2016,2016,여,18,14,7,50,21,17,4,23.5,4
안전관리분야,2017,2017,전체,1856,1536,822,53.5,1533,1348,751,55.7,751
안전관리분야,2017,2017,여,24,17,8,47.1,22,19,9,47.4,9
안전관리분야,2018,2018,전체,2054,1780,952,53.5,1586,1424,248,17.4,248
안전관리분야,2018,2018,여,45,38,20,52.6,30,26,8,30.8,8
안전관리분야,2019,2019,전체,2273,1902,1034,54.4,2173,1973,381,19.3,381
안전관리분야,2019,2019,여,54,48,21,43.8,43,38,7,18.4,7
가스,1975,2019,전체,21545,18290,8382,45.8,18578,15940,3427,21.5,3540
가스,1975,2014,전체,12316,10487,4329,41.3,10704,8958,1444,16.1,1557
가스,2015,2015,전체,1471,1254,515,41.1,1144,992,185,18.6,185
가스,2015,2015,여,19,17,9,52.9,16,15,3,20,3
가스,2016,2016,전체,1575,1331,730,54.8,1438,1245,418,33.6,418
가스,2016,2016,여,18,14,7,50,21,17,4,23.5,4
가스,2017,2017,전체,1856,1536,822,53.5,1533,1348,751,55.7,751
가스,2017,2017,여,24,17,8,47.1,22,19,9,47.4,9
가스,2018,2018,전체,2054,1780,952,53.5,1586,1424,248,17.4,248
가스,2018,2018,여,45,38,20,52.6,30,26,8,30.8,8
가스,2019,2019,전체,2273,1902,1034,54.4,2173,1973,381,19.3,381
가스,2019,2019,여,54,48,21,43.8,43,38,7,18.4,7
에너지.기상분야,1975,2019,전체,12731,11340,6277,55.4,10978,10437,3461,33.2,3461
에너지.기상분야,1975,2014,전체,6602,5969,3221,54,5818,5475,1769,32.3,1769
에너지.기상분야,2015,2015,전체,951,867,490,56.5,872,832,276,33.2,276
에너지.기상분야,2015,2015,여,4,3,0,0,0,0,0,0,0
에너지.기상분야,2016,2016,전체,1252,1117,662,59.3,1014,972,344,35.4,344
에너지.기상분야,2016,2016,여,5,3,2,66.7,2,2,2,100,2
에너지.기상분야,2017,2017,전체,1162,1025,554,54,1119,1080,447,41.4,447
에너지.기상분야,2017,2017,여,3,3,2,66.7,2,2,1,50,1
에너지.기상분야,2018,2018,전체,1361,1190,630,52.9,1021,977,295,30.2,295
에너지.기상분야,2018,2018,여,7,5,1,20,2,2,2,100,2
에너지.기상분야,2019,2019,전체,1403,1172,720,61.4,1134,1101,330,30,330
에너지.기상분야,2019,2019,여,11,10,5,50,4,4,0,0,0
에너지관리,1975,2019,전체,12731,11340,6277,55.4,10978,10437,3461,33.2,3461
에너지관리,1975,2014,전체,6602,5969,3221,54,5818,5475,1769,32.3,1769
에너지관리,2015,2015,전체,951,867,490,56.5,872,832,276,33.2,276
에너지관리,2015,2015,여,4,3,0,0,0,0,0,0,0
에너지관리,2016,2016,전체,1252,1117,662,59.3,1014,972,344,35.4,344
에너지관리,2016,2016,여,5,3,2,66.7,2,2,2,100,2
에너지관리,2017,2017,전체,1162,1025,554,54,1119,1080,447,41.4,447
에너지관리,2017,2017,여,3,3,2,66.7,2,2,1,50,1
에너지관리,2018,2018,전체,1361,1190,630,52.9,1021,977,295,30.2,295
에너지관리,2018,2018,여,7,5,1,20,2,2,2,100,2
에너지관리,2019,2019,전체,1403,1172,720,61.4,1134,1101,330,30,330
에너지관리,2019,2019,여,11,10,5,50,4,4,0,0,0
