제작연도,카테고리,프로그램명,총편수,회차제목,내용,시간(러닝타임),장르구분,등록일
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_139,김승환 (평택대학교 창업전담 교수 / 창업전문 멘토) 정말 하고 싶은 일에 올인하라,60min,토크-쇼,2016-10-24
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_140,김승환 (평택대학교 창업전담 교수 / 창업전문 멘토) 성공하는 사업은 무엇이 다른가,60min,토크-쇼,2016-10-25
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_141,유성호 (前 대원외고 국어교사) 당신의 꿈에 스스로를 가두지 마라,60min,토크-쇼,2016-10-26
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_142,유성호 (前 대원외고 국어교사) 모두에게 완벽한 방법은 없다,60min,토크-쇼,2016-10-27
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_143,"신주원 (아디다스코리아 인사부장) 외국계 기업, 취업 길라잡이",60min,토크-쇼,2016-10-28
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_144,"신주원 (아디다스코리아 인사부장) 나를 사랑하는 방법, 자기 관리 전략",60min,토크-쇼,2016-10-31
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_145,이승건 (비바리퍼블리카 대표) 핀테크에 대한 오해와 진실,60min,토크-쇼,2016-11-01
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_146,이승건 (비바리퍼블리카 대표) 창업하기 전 알아야 할 10가지,60min,토크-쇼,2016-11-02
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_147,"김우섭 (피노텍 대표) 핀테크 시대, 미래 게임의 승자는",60min,토크-쇼,2016-11-03
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_148,김우섭 (피노텍 대표) 핀테크와 4차산업 어떻게 준비하나,60min,토크-쇼,2016-11-04
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_149,"이승행 (미드레이트 대표) 핀테크의 꽃, P2P 금융이란 무엇인가",60min,토크-쇼,2016-11-07
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_150,"이승행 (미드레이트 대표) 대한민국 P2P금융, 풀어야 할 숙제는",60min,토크-쇼,2016-11-08
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_151,"황승익 (한국NFC 대표) 간편 결제의 혁명, NFC란 무엇인가",60min,토크-쇼,2016-11-09
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_152,"황승익 (한국NFC 대표) 복잡한 본인 인증, 무엇이 문제인가",60min,토크-쇼,2016-11-10
